rodada,data,mandante,visitante,vencedor,mandante_gols,visitante_gols
1,2003-03-29,Guarani,Vasco,Guarani,4,2
1,2003-03-29,Athletico-PR,Gremio,Athletico-PR,2,0
1,2003-03-30,Flamengo,Coritiba,-,1,1
1,2003-03-30,Goias,Paysandu,-,2,2
1,2003-03-30,Internacional,Ponte Preta,-,1,1
1,2003-03-30,Criciuma,Fluminense,Criciuma,2,0
1,2003-03-30,Juventude,Sao Paulo,-,2,2
1,2003-03-30,Fortaleza,Bahia,-,0,0
1,2003-03-30,Cruzeiro,Sao Caetano,-,2,2
1,2003-03-30,Vitoria,Figueirense,-,1,1
1,2003-03-30,Santos,Parana,-,2,2
1,2003-03-30,Corinthians,Atletico-MG,Atletico-MG,0,3
2,2003-04-05,Fluminense,Fortaleza,-,1,1
2,2003-04-05,Atletico-MG,Santos,-,0,0
2,2003-04-05,Coritiba,Internacional,Internacional,0,1
2,2003-04-05,Gremio,Guarani,Gremio,3,1
2,2003-04-06,Bahia,Flamengo,Flamengo,1,2
2,2003-04-06,Figueirense,Corinthians,-,3,3
2,2003-04-06,Paysandu,Vitoria,Vitoria,1,2
2,2003-04-06,Ponte Preta,Juventude,Ponte Preta,1,0
2,2003-04-06,Parana,Athletico-PR,Parana,3,0
2,2003-04-06,Sao Caetano,Criciuma,Sao Caetano,3,2
2,2003-04-06,Sao Paulo,Cruzeiro,Cruzeiro,2,4
2,2003-04-06,Vasco,Goias,Vasco,6,4
4,2003-04-09,Paysandu,Santos,Paysandu,2,1
3,2003-04-12,Internacional,Bahia,Internacional,2,0
3,2003-04-12,Santos,Figueirense,Santos,2,0
3,2003-04-12,Athletico-PR,Atletico-MG,Atletico-MG,1,2
3,2003-04-12,Corinthians,Paysandu,Corinthians,6,1
3,2003-04-13,Vitoria,Vasco,Vitoria,2,1
3,2003-04-13,Criciuma,Sao Paulo,-,1,1
3,2003-04-13,Fortaleza,Sao Caetano,-,1,1
3,2003-04-13,Juventude,Coritiba,Juventude,2,1
3,2003-04-13,Guarani,Parana,Guarani,2,0
3,2003-04-13,Goias,Gremio,-,1,1
3,2003-04-13,Cruzeiro,Ponte Preta,Cruzeiro,3,0
3,2003-04-13,Flamengo,Fluminense,Flamengo,4,1
4,2003-04-16,Bahia,Juventude,Bahia,3,1
4,2003-04-16,Gremio,Vitoria,Gremio,2,1
4,2003-04-16,Atletico-MG,Guarani,Atletico-MG,3,2
4,2003-04-16,Figueirense,Athletico-PR,-,1,1
4,2003-04-16,Ponte Preta,Criciuma,-,1,1
4,2003-04-16,Sao Caetano,Flamengo,-,1,1
4,2003-04-16,Vasco,Corinthians,-,2,2
4,2003-04-16,Coritiba,Cruzeiro,Cruzeiro,3,4
4,2003-04-17,Fluminense,Internacional,Fluminense,3,1
4,2003-04-17,Sao Paulo,Fortaleza,Sao Paulo,3,1
4,2003-04-17,Parana,Goias,Parana,3,1
12,2003-04-18,Flamengo,Cruzeiro,Flamengo,3,0
5,2003-04-19,Bahia,Atletico-MG,Atletico-MG,2,4
5,2003-04-19,Sao Caetano,Gremio,-,1,1
5,2003-04-19,Flamengo,Santos,Santos,0,2
5,2003-04-20,Sao Paulo,Vasco,Sao Paulo,3,1
5,2003-04-20,Internacional,Corinthians,Internacional,2,1
5,2003-04-20,Criciuma,Guarani,Criciuma,1,0
5,2003-04-20,Juventude,Vitoria,-,1,1
5,2003-04-20,Fortaleza,Athletico-PR,Fortaleza,1,0
5,2003-04-20,Ponte Preta,Paysandu,-,4,4
5,2003-04-20,Cruzeiro,Goias,Cruzeiro,4,1
5,2003-04-20,Fluminense,Parana,-,0,0
5,2003-04-21,Coritiba,Figueirense,Coritiba,1,0
6,2003-04-26,Atletico-MG,Coritiba,Coritiba,1,2
6,2003-04-26,Parana,Bahia,Parana,3,1
6,2003-04-26,Vitoria,Internacional,Internacional,0,3
6,2003-04-26,Guarani,Cruzeiro,-,1,1
6,2003-04-27,Corinthians,Flamengo,-,1,1
6,2003-04-27,Goias,Juventude,Goias,7,0
6,2003-04-27,Figueirense,Ponte Preta,-,0,0
6,2003-04-27,Santos,Fortaleza,Santos,4,0
6,2003-04-27,Gremio,Fluminense,Fluminense,0,1
6,2003-04-27,Athletico-PR,Criciuma,Athletico-PR,4,2
6,2003-04-27,Paysandu,Sao Paulo,Paysandu,5,2
6,2003-04-27,Vasco,Sao Caetano,Vasco,1,0
7,2003-05-03,Flamengo,Vitoria,Flamengo,2,1
7,2003-05-03,Bahia,Gremio,Bahia,2,1
7,2003-05-03,Cruzeiro,Athletico-PR,Cruzeiro,5,2
7,2003-05-04,Fortaleza,Corinthians,Corinthians,1,2
7,2003-05-04,Sao Paulo,Figueirense,Sao Paulo,3,2
7,2003-05-04,Sao Caetano,Paysandu,Sao Caetano,2,0
7,2003-05-04,Internacional,Goias,Internacional,2,1
7,2003-05-04,Ponte Preta,Atletico-MG,Ponte Preta,2,1
7,2003-05-04,Juventude,Guarani,-,1,1
7,2003-05-04,Coritiba,Parana,Coritiba,2,1
7,2003-05-04,Criciuma,Santos,Santos,1,3
7,2003-05-04,Fluminense,Vasco,-,0,0
8,2003-05-10,Goias,Flamengo,-,1,1
8,2003-05-10,Santos,Cruzeiro,Cruzeiro,0,2
8,2003-05-10,Parana,Ponte Preta,Parana,3,2
8,2003-05-10,Corinthians,Criciuma,Corinthians,3,0
8,2003-05-11,Vasco,Bahia,-,1,1
8,2003-05-11,Paysandu,Fluminense,-,2,2
8,2003-05-11,Atletico-MG,Sao Paulo,-,2,2
8,2003-05-11,Vitoria,Fortaleza,Vitoria,2,1
8,2003-05-11,Guarani,Internacional,Guarani,3,0
8,2003-05-11,Athletico-PR,Juventude,Athletico-PR,2,0
8,2003-05-11,Figueirense,Sao Caetano,Figueirense,3,0
8,2003-05-11,Gremio,Coritiba,Gremio,1,0
9,2003-05-17,Fluminense,Figueirense,Fluminense,3,0
9,2003-05-17,Sao Caetano,Atletico-MG,Sao Caetano,2,0
9,2003-05-17,Juventude,Santos,-,1,1
9,2003-05-18,Bahia,Paysandu,Bahia,2,0
9,2003-05-18,Internacional,Athletico-PR,-,1,1
9,2003-05-18,Coritiba,Vasco,-,1,1
9,2003-05-18,Cruzeiro,Corinthians,-,1,1
9,2003-05-18,Fortaleza,Goias,Fortaleza,1,0
9,2003-05-18,Ponte Preta,Gremio,Ponte Preta,2,1
9,2003-05-18,Criciuma,Vitoria,-,1,1
9,2003-05-18,Flamengo,Guarani,-,1,1
9,2003-05-18,Sao Paulo,Parana,Sao Paulo,2,0
10,2003-05-24,Atletico-MG,Fluminense,Atletico-MG,3,0
10,2003-05-24,Parana,Sao Caetano,-,1,1
10,2003-05-24,Corinthians,Juventude,Corinthians,3,0
10,2003-05-24,Vasco,Ponte Preta,Vasco,1,0
10,2003-05-25,Athletico-PR,Flamengo,Athletico-PR,4,1
10,2003-05-25,Paysandu,Coritiba,Coritiba,1,3
10,2003-05-25,Goias,Criciuma,Criciuma,0,2
10,2003-05-25,Gremio,Sao Paulo,Sao Paulo,1,2
10,2003-05-25,Guarani,Fortaleza,Guarani,2,1
10,2003-05-25,Figueirense,Bahia,Figueirense,1,0
10,2003-05-25,Vitoria,Cruzeiro,Vitoria,2,1
10,2003-05-25,Santos,Internacional,Santos,2,1
11,2003-05-31,Fluminense,Athletico-PR,Fluminense,2,1
11,2003-05-31,Cruzeiro,Criciuma,Cruzeiro,2,0
11,2003-05-31,Coritiba,Guarani,Coritiba,3,2
11,2003-05-31,Ponte Preta,Sao Caetano,-,0,0
11,2003-05-31,Internacional,Paysandu,Internacional,2,1
11,2003-06-01,Parana,Flamengo,Parana,6,2
11,2003-06-01,Bahia,Goias,Bahia,2,1
11,2003-06-01,Fortaleza,Juventude,Fortaleza,3,1
11,2003-06-01,Figueirense,Gremio,Figueirense,2,1
11,2003-06-01,Santos,Sao Paulo,Santos,3,2
11,2003-06-01,Corinthians,Vitoria,Corinthians,4,0
11,2003-06-01,Vasco,Atletico-MG,-,2,2
12,2003-06-07,Vitoria,Fluminense,Vitoria,2,1
12,2003-06-07,Guarani,Santos,Santos,1,2
12,2003-06-07,Gremio,Fortaleza,Gremio,3,1
12,2003-06-07,Atletico-MG,Figueirense,-,1,1
12,2003-06-08,Paysandu,Parana,Paysandu,3,0
12,2003-06-08,Juventude,Vasco,-,0,0
12,2003-06-08,Athletico-PR,Ponte Preta,Athletico-PR,4,2
12,2003-06-08,Goias,Coritiba,Coritiba,1,2
12,2003-06-08,Sao Caetano,Corinthians,Sao Caetano,1,0
12,2003-06-08,Criciuma,Internacional,Criciuma,1,0
12,2003-06-08,Sao Paulo,Bahia,-,2,2
13,2003-06-14,Fluminense,Goias,Goias,2,3
13,2003-06-14,Ponte Preta,Guarani,Guarani,0,2
13,2003-06-14,Coritiba,Athletico-PR,Coritiba,2,0
13,2003-06-15,Corinthians,Sao Paulo,Sao Paulo,1,2
13,2003-06-15,Fortaleza,Paysandu,Paysandu,1,2
13,2003-06-15,Parana,Juventude,Juventude,1,2
13,2003-06-15,Gremio,Internacional,-,0,0
13,2003-06-15,Santos,Sao Caetano,Sao Caetano,0,1
13,2003-06-15,Criciuma,Figueirense,Criciuma,1,0
13,2003-06-15,Bahia,Vitoria,Bahia,2,1
13,2003-06-15,Vasco,Flamengo,Flamengo,1,2
13,2003-06-15,Cruzeiro,Atletico-MG,-,0,0
14,2003-06-19,Bahia,Coritiba,-,2,2
14,2003-06-21,Vasco,Criciuma,Vasco,2,0
14,2003-06-21,Atletico-MG,Gremio,Atletico-MG,3,2
14,2003-06-21,Internacional,Parana,Internacional,2,1
14,2003-06-21,Sao Paulo,Goias,Sao Paulo,1,0
14,2003-06-22,Paysandu,Flamengo,-,2,2
14,2003-06-22,Ponte Preta,Corinthians,-,3,3
14,2003-06-22,Sao Caetano,Vitoria,Sao Caetano,2,1
14,2003-06-22,Figueirense,Fortaleza,-,2,2
14,2003-06-22,Juventude,Cruzeiro,Cruzeiro,0,1
14,2003-06-22,Fluminense,Guarani,Fluminense,5,2
15,2003-06-28,Fortaleza,Vasco,Vasco,0,1
15,2003-06-28,Coritiba,Sao Caetano,Coritiba,2,0
15,2003-06-28,Gremio,Juventude,Juventude,1,4
15,2003-06-28,Santos,Bahia,Santos,4,0
15,2003-06-28,Flamengo,Figueirense,Figueirense,0,2
15,2003-06-29,Corinthians,Fluminense,Corinthians,1,0
15,2003-06-29,Guarani,Sao Paulo,Sao Paulo,0,1
15,2003-06-29,Criciuma,Paysandu,Criciuma,2,0
15,2003-06-29,Vitoria,Athletico-PR,Vitoria,1,0
15,2003-06-29,Cruzeiro,Internacional,Cruzeiro,3,2
15,2003-06-29,Parana,Atletico-MG,-,1,1
16,2003-07-05,Vasco,Parana,Parana,1,4
16,2003-07-05,Sao Paulo,Sao Caetano,-,1,1
16,2003-07-05,Figueirense,Cruzeiro,Figueirense,1,0
16,2003-07-05,Atletico-MG,Paysandu,Atletico-MG,3,2
16,2003-07-06,Gremio,Flamengo,Gremio,2,0
16,2003-07-06,Guarani,Goias,Guarani,3,2
16,2003-07-06,Athletico-PR,Corinthians,Athletico-PR,3,1
16,2003-07-06,Juventude,Internacional,-,1,1
16,2003-07-06,Fortaleza,Criciuma,Criciuma,0,1
16,2003-07-06,Vitoria,Ponte Preta,Ponte Preta,1,4
16,2003-07-06,Santos,Coritiba,Santos,3,1
16,2003-07-06,Fluminense,Bahia,Fluminense,1,0
17,2003-07-09,Sao Caetano,Athletico-PR,-,0,0
17,2003-07-09,Corinthians,Santos,-,1,1
17,2003-07-09,Cruzeiro,Fortaleza,Cruzeiro,2,0
17,2003-07-09,Bahia,Guarani,Bahia,2,0
17,2003-07-09,Paysandu,Figueirense,Paysandu,1,0
17,2003-07-09,Goias,Vitoria,-,1,1
17,2003-07-09,Flamengo,Juventude,Flamengo,2,1
17,2003-07-09,Internacional,Vasco,Internacional,2,1
17,2003-07-09,Coritiba,Sao Paulo,Sao Paulo,0,2
17,2003-07-10,Ponte Preta,Fluminense,Ponte Preta,3,0
17,2003-07-10,Criciuma,Atletico-MG,Criciuma,1,0
17,2003-07-10,Parana,Gremio,Parana,3,1
18,2003-07-12,Athletico-PR,Goias,-,0,0
18,2003-07-12,Fortaleza,Internacional,Fortaleza,3,0
18,2003-07-12,Vasco,Paysandu,Paysandu,0,2
18,2003-07-13,Atletico-MG,Flamengo,Atletico-MG,1,0
18,2003-07-13,Ponte Preta,Bahia,Ponte Preta,1,0
18,2003-07-13,Corinthians,Coritiba,Coritiba,0,1
18,2003-07-13,Criciuma,Juventude,Criciuma,3,0
18,2003-07-13,Figueirense,Parana,Figueirense,4,2
18,2003-07-13,Sao Caetano,Guarani,Guarani,0,2
18,2003-07-13,Fluminense,Sao Paulo,Sao Paulo,1,3
18,2003-07-13,Gremio,Cruzeiro,Cruzeiro,0,1
18,2003-07-13,Vitoria,Santos,Vitoria,2,0
19,2003-07-16,Flamengo,Fortaleza,Fortaleza,0,2
19,2003-07-16,Juventude,Figueirense,Figueirense,1,2
19,2003-07-16,Bahia,Sao Caetano,-,0,0
19,2003-07-16,Coritiba,Fluminense,Coritiba,3,0
19,2003-07-16,Guarani,Vitoria,-,2,2
19,2003-07-16,Internacional,Atletico-MG,-,3,3
19,2003-07-16,Santos,Ponte Preta,Santos,2,1
19,2003-07-16,Cruzeiro,Vasco,Cruzeiro,4,1
19,2003-07-16,Goias,Corinthians,-,1,1
19,2003-07-17,Paysandu,Gremio,-,1,1
