id,name,neighbourhood,price
17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",Copacabana,310.0
220377,Suíte Casal (banheiro privativo),Tijuca,220.0
25026,Beautiful Modern Decorated Studio in Copa,Copacabana,203.0
35764,COPACABANA SEA BREEZE  -  RIO - 25  X Superhost,Copacabana,201.0
223073,Modern Loft 1 • Ipanema Posto 9 • 500  mb,Ipanema,321.0
48305,Bright 6bed Penthouse Seconds from Beach,Ipanema,2645.0
230989,Nice Flat in Copacabana  Ocean View,Copacabana,160.0
48901,Large /equipped 4BD 3BT on Atlantic ave Copacabana,Copacabana,946.0
231105,10 Suíte,Jacarepaguá,169.0
231497,Nice big studio in Copacabana,Copacabana,160.0
231516,Apartment on Copacabana beach,Copacabana,350.0
49179,Djalma Ocean View Studio with Amazing Views,Copacabana,200.0
50759,Casanova Residence great for shoots and events,Barra da Tijuca,3500.0
236991,PRAIA DE COPACABANA!!   1 BLOCK FROM THE BEACH,Copacabana,211.0
51703,"Ocean view, block of the beach, Copacabana,Ipanema",Copacabana,181.0
238802,"Beautiful Three Bedroom, two Blocks From The Beach",Copacabana,592.0
239531,Bedroom and sea view  surrounded with everything,Copacabana,196.0
53533,Walk to Joatinga Beach/PedraDaGávea View Casa/Pool,Joá,1381.0
247052,Christ the Redeemer View,Botafogo,414.0
60718,Wonderful loft at the heart of Rio de Janeiro,Flamengo,714.0
248756,Copacabana 1 block away from beach,Copacabana,370.0
64795,Ipanema amazing 3 bedrooms apartment,Ipanema,514.0
249323,"Designer beachfront apt, safe loc",Copacabana,691.0
66797,Studio Apart  for rent in ipanema.,Copacabana,220.0
70080,Apart-hotel em Ipanema com garagem e  camareira,Ipanema,359.0
249842,"Quarto em Copacabana, central e perto da praia",Copacabana,121.0
70547,37B&B - Santa Teresa Suite MOMA RIO,Santa Teresa,155.0
251868,Great & comfy studio Copa!,Copacabana,120.0
76245,Espaçosa Casa  no Coração do Rio 290m4QT.8camas,Copacabana,872.0
256323,Garden Studio - Home away from Home,Santa Teresa,226.0
76300,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1",Santa Teresa,115.0
262466,APTO BOTAFOGO - BEM LOCALIZADO,Botafogo,250.0
86670,Fronteira Leblon/Ipanema - Vista fantástica!,Leblon,329.0
86864,Apartamento Moderno e confortavel,Copacabana,148.0
264816,Duplex in BARRA  w/private large balcony,Barra da Tijuca,287.0
86978,Room For a Rent : Rio de Janeiro,Jacarepaguá,829.0
265072,Apartamento Reformado em Copacabana,Copacabana,140.0
87762,Apartamento Blue a 1 quadra da praia de Ipanema,Ipanema,197.0
88528,COPACABANA - Lindo apartamento na quadra da praia,Copacabana,240.0
265752,"Jacuzzi, Air conditioning, 3mn walk to Beach",Copacabana,826.0
88781,COPACABANA - ÓTIMA LOCALIZAÇÃO,Copacabana,225.0
271975,Unbelievable Ocean View Apartment,Vidigal,236.0
89981,IPANEMA  QUARTO + BANHEIRO PRIVADO,Ipanema,221.0
272335,EXCELENTE APARTAMENTO EM COPACABANA,Copacabana,147.0
94895,Quarto iluminado e acolhedor em Copacabana!,Copacabana,160.0
96431,Amazing ocean view !,Barra da Tijuca,581.0
272631,Comfort em Copacabana,Copacabana,221.0
96478,APARTAMENT IN BOTAFOGO  BEAUTIFULL,Botafogo,280.0
273261,Amazing Huge Apartment in Leblon,Leblon,5524.0
97636,Rio de Janeiro for you! Go for it!,Botafogo,506.0
273363,Lindo quarto sossegado para temporada,Santa Teresa,61.0
273463,Apto de 2 qtos com vista para Lagoa e  garagem,Lagoa,350.0
98969,Amplo quarto com varanda e banheiro exclusivo.,Recreio dos Bandeirantes,113.0
273496,Luxury Accommodation in Hip Leblon,Leblon,590.0
99336,Casa estilo cabana americana 4 quartos 6 lugares,Itanhangá,731.0
99547,Lapa Archs | Santa Teresa best studio for 2 people,Santa Teresa,131.0
273753,Beautiful room for students,Santa Teresa,60.0
99971,Right in front of the beach in Rio!,Leblon,273.0
274116,Comfortable apart in Santa Teresa - Rio de Janeiro,Santa Teresa,136.0
278679,"5 min a pé - Praia de Copacabana, Metrô, WiFi II",Copacabana,199.0
107469,Quarto confortável com vista panorâmica,Santa Teresa,59.0
108072,Nice 1 BR Apartment in Copacabana,Copacabana,221.0
280625,"Fascinating Rio, on the hills!",Botafogo,320.0
109747,Ipanema WOW!  for 6+2,Ipanema,2533.0
280765,STUDIO RIO LAPA CARNIVAL,Santa Teresa,165.0
118355,House in garde,Itanhangá,2311.0
125656,"Copacabana Studio -  5* Reviews, 5 mins to Beach",Copacabana,354.0
281304,"5 min a pé - Praia de Copacabana, Metrô, WiFi I",Copacabana,259.0
281459,Quintal do Rio: Refúgio Urbano entre Lagoa/Ipanema,Lagoa,408.0
127018,Alugo quarto na Gávea com ar condicionado,Gávea,250.0
128727,"Quarto privado, varanda, ar condicionado",Praça Seca,193.0
282071,"Rio, hospedagem e tranquilidade",Flamengo,359.0
130234,excellent studio apartment,Copacabana,180.0
284762,"10People Ipanema/Copa (Rock, AnoNovo, Feriado",Copacabana,357.0
284910,COPACABANA 2 BLOCKS FROM THE BEACH,Copacabana,271.0
132114,Green bedroom -Quartinho verde / Laranjeiras,Laranjeiras,113.0
285363,Cozy in Copacabana | 150m from the beach | Pi401 Z,Copacabana,217.0
285554,Xenia's Room Casa São Conrado,São Conrado,256.0
137002,Leblon House Very sophisticated in the mettle of L,Leblon,1328.0
286677,a ocean view quadruple room in copacabana,Copacabana,250.0
286788,triple ocean view room in copacaban,Copacabana,180.0
137048,Charming 2 bedroom flat in Leblon,Leblon,348.0
286792,triple ocean view room in copacaban,Copacabana,300.0
137150,Penthouse at Lagoa close to Ipanema,Lagoa,2762.0
289898,double/twin ocean view room in copa,Copacabana,200.0
137343,"2BR, 2 blocks from Ipanema Beach",Ipanema,387.0
290503,"5 min a pé - Praia de Copacabana, Metrô, WiFi III",Copacabana,220.0
141434,URCA Amazing Penthouse w/ best view/ 230 m2,Botafogo,1018.0
290513,2 bedroom in Urca 300 meters from Sugarloaf.,Urca,280.0
146402,Suite in a beautiful house-Lagoa/RJ,Humaitá,327.0
166177,Studio  70 meters from Copacabana beach,Copacabana,194.0
166861,Quarto casal em Copacabana Posto 6,Copacabana,350.0
291771,Beautiful Newly Renovated Studio in Copacabana !,Copacabana,2959.0
166972,O MELHOR ESTÚDIO DE  COPACABANA,Copacabana,200.0
293166,THE BEST PLACE FOR THE CARNIVAL IN RIO,Santa Teresa,206.0
293171,PRECIOSO PISO EN EL CORAZON DE RIO,Santa Teresa,206.0
167031,"Arpoador beach, the best part of Ipanema",Ipanema,236.0
293725,A Prime House in Botanico´s Garden!,Jardim Botânico,200.0
167932,Quiet studio in the best of COPA,Copacabana,183.0
170397,Studio in the HEART of Copacabana,Copacabana,183.0
294292,"Copacabana, Cozy and Central",Copacabana,122.0
295493,Delicious new and beautifull 2 bedrooms apartment,Laranjeiras,300.0
171505,Come and Feel at Home !!!,Vidigal,442.0
295683,Fresh n' Pendant-Botafogo,Botafogo,57.0
295955,Cozy apartment located in a safe area of Rio,Laranjeiras,221.0
172902,Studio between Ipanema / Copacabana,Copacabana,172.0
296910,Nice place in Rio with ocean view.,Barra da Tijuca,900.0
173709,Excelent apt near Copacabana beach,Copacabana,119.0
297908,Studio em Santa Teresa/Lapa,Santa Teresa,263.0
174101,Penthouse & Private Airy and Quiet Terrace,Copacabana,669.0
298395,Copacabana Beach,Copacabana,509.0
176185,Penthouse Oceanview Copacab/Ipanema,Copacabana,1205.0
303587,Room -Corner in the Marvelous City!,Copacabana,97.0
178833,Penthouse #1! Best Internet! Veranda! Expat US-DE,Copacabana,289.0
306113,Copacabana Beach side view 9th floor natural light,Copacabana,199.0
178951,Penthouse #2! Best Internet! Veranda! Expat US-DE,Copacabana,295.0
186604,Private room in downtown Rio,Centro,663.0
307714,SUITE IN IPANEMA RIO DE JANEIRO,Ipanema,395.0
188155,Copacabana flat/ Near to the beach/ 2 Rooms,Copacabana,330.0
190906,9 minutes walk to Ipanema Beach/ Lagoon Wfi 500MB,Ipanema,367.0
310233,"Sleek, luxurious, in Copacabana",Copacabana,387.0
191462,Quarto em Botafogo,Botafogo,94.0
191955,bedroom suite,Humaitá,164.0
311801,Copa Penthouse Black & White Suite,Copacabana,180.0
313223,Bedroom & living room  in the best part of Ipanema,Ipanema,251.0
193317,Bedroom Ipanema 1 block from beach,Ipanema,140.0
313985,Apartamento duplex - 2 suites ABM,Barra da Tijuca,497.0
198665,Comfort and safety on your trip,Jardim Botânico,497.0
200568,"30m of Ipanema Beach, near Fasano Hotel!",Ipanema,190.0
315102,Cosy appart à Ipanema,Ipanema,286.0
202778,Best Studio in Rio - Copacabana,Copacabana,256.0
315109,Flat in the heart of Ipanema beach,Ipanema,206.0
316652,In the middle of the city close to nature.,Botafogo,166.0
209671,1 bed apartment in beautiful Gloria,Glória,160.0
216461,Comfortable room in Flamengo / RIO,Flamengo,829.0
321637,NEW WORLD LODGINGS #Caledonia Room,Botafogo,718.0
321648,NEW WORLD LODGINGS #Tirrik Room -RJ,Botafogo,718.0
216700,Ótimo quarto perto Cristo Redentor,Laranjeiras,300.0
219250,Varandão Atelier Lounge Sta. Teresa,Santa Teresa,220.0
321802,Arte e vista em Santa Teresa- Rio,Santa Teresa,250.0
540421,Duplex penthouse near the beach,Copacabana,3000.0
322004,THE BEST OF IPANEMA I - ONE BEDROOM,Ipanema,329.0
323213,Quarto aconchegante em Ipanema.,Ipanema,249.0
545007,House in the middle of nature,Cosme Velho,270.0
324324,Wonderful location in Copacabana!,Copacabana,350.0
324541,NEW WORLD INDEPENDENT LODGINGS - RJ,Botafogo,1933.0
324679,Rio from the hill!,Botafogo,182.0
555606,Amazing 2 Bdr - 2 steps from Subway of Botafogo,Botafogo,313.0
326205,Copa Penthouse Red & White Suite,Copacabana,139.0
557344,AIRES 3 bedrooms 3 bathrooms Copacabana RJ,Copacabana,484.0
328626,OLYMPIC GAMES 2016 - in Rio de Janeiro,Santa Teresa,1250.0
566927,Luxo Coração de Copacabana vista maravilhosa praia,Copacabana,305.0
331088,Leblon Beach /Gávea The Best placee,Leblon,124.0
567300,"Copacabana oceanview, room for 02 ]",Copacabana,155.0
332150,"GREAT VIEW -Santa Teresa- GUESTHOUSE ""Casa 48""  #2",Santa Teresa,115.0
567326,"Copacabana oceanview, room for 02.",Copacabana,163.0
332151,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #3",Santa Teresa,115.0
567338,Copacabana Ocean view / Suite for 2,Copacabana,187.0
569509,Cozy apartment in Copacabana!,Copacabana,385.0
333305,Copacabana Apartment Block Beach,Copacabana,2652.0
334585,House in prime location near Lagoa,Jardim Botânico,200.0
571163,Copa beach!,Copacabana,130.0
575720,Room in Barra da Tijuca Rio,Barra da Tijuca,343.0
336502,"Copacabana, internet wifi, air",Copacabana,190.0
577253,COPACABANA - GREAT LOCATION,Copacabana,258.0
340432,Beautiful Apartment in Leblon,Leblon,200.0
579448,CASA DA DENISE Room with gorgeous viewSantaTeresa,Santa Teresa,420.0
342874,Comfortable in Copacabana beach,Leme,175.0
346694,"Alugo quarto espaçoso ,com direitos",Vila da Penha,359.0
347295,Copa Penthouse Brown & White Suite,Copacabana,150.0
579704,VIP suite gorgeous view-SantaTeresa,Santa Teresa,469.0
347820,AMAZING BEACH FRONT IN COPACABANA,Copacabana,904.0
579756,CASA DA DENISE lovely space room - Santa Teresa,Santa Teresa,420.0
347883,Virtually On The Beach!!!,Copacabana,369.0
584211,Studio 1 Apartment in Copacabana,Copacabana,103.0
348330,High floor modern apartment with ocean view.,Lagoa,518.0
352718,"Copacabana, Posto 06,   Um quarto",Copacabana,500.0
586712,"3-floor house in Santa Teresa, Rio",Santa Teresa,1215.0
355075,Charmosa hospedagem!,Flamengo,1105.0
588751,"Ipanema, confortável 3 bedrooms",Ipanema,703.0
589233,ipanema 22 studio with queen bed,Ipanema,552.0
356489,"Copacabana, 2 blocks from the beach",Copacabana,283.0
589234,ipanema 22 with queen bed internet,Ipanema,552.0
603810,"40m da Praia Ipanema, Silencioso",Ipanema,436.0
357554,EXCELLENT LOCATION IN COPACABANA,Copacabana,141.0
604508,SPECTACULAR PENTHOUSE WITH TERRACE,Copacabana,850.0
360877,LUXE Loft in Copacabana - 1 Block from the Beach,Copacabana,285.0
604861,"IPANEMA, 3RD FLOOR, BEACH BLOCK",Recreio dos Bandeirantes,276.0
361568,Linda cobertura vista mar Jd Oceânico,Barra da Tijuca,500.0
361569,Wonderful penthouse in Garden Ocean,Barra da Tijuca,2000.0
609019,AWESOME APARTMENT IN LEBLON,Leblon,600.0
367183,Cosy and beautifull apartment in Gloria,Santa Teresa,181.0
616315,IPANEMA 1304 NICE 2 BEDROOM,Ipanema,823.0
628044,Best apartament Copacabana (Leme),Leme,157.0
368146,Ótimo Apartamento em Ipanema,Ipanema,319.0
628098,IPANEMA - 2 BEDROOM + PARKING,Ipanema,750.0
371950,Excelente Apartamento em Ipanema,Ipanema,329.0
634088,"Leblon, av Cupertino, near beach with 24h doorman,",Leblon,840.0
634422,Apartamento Arcos da Lapa,Centro,116.0
636684,Olimpic Park - Rock in Rio - Entire Apartament,Jacarepaguá,293.0
380887,COPACABANA ENTRE AS PRAIAS DE IPANEMA E ARPOADOR,Copacabana,364.0
655106,3 bedroom in the heart of Ipanema,Ipanema,1008.0
392267,Holiday in Rio 2024 #digitalnomades #visaeua,Centro,108.0
396849,Ff702| 3 bedrooms in Leblon,Leblon,408.0
658035,Amazing View Apt in Copacabana,Copacabana,617.0
399476,Apartment in Santa Teresa with superb view!,Santa Teresa,1600.0
400326,Cool & Cozy Apartment in Copacabana,Copacabana,268.0
660717,HMG Rio,Botafogo,147.0
404674,"In the heart of our beautiful city…Oh, yeah!",Flamengo,348.0
669012,"COPA 53 close to the beach, studio",Copacabana,442.0
670109,Cozy studio at Lapa-Rio de Janeiro,Centro,93.0
405444,Copacabana/200m Beach World Cup,Copacabana,391.0
406603,Big green terrace in Copacabana !,Copacabana,962.0
672835,Apart hotel - COPACABANA beach,Copacabana,342.0
675035,"Nice, cozy apartment in Botafogo",Botafogo,147.0
409038,Copa Penthouse - 2 Bed Apartment,Copacabana,400.0
676235,Modern loft among 3 famous beaches,Copacabana,216.0
409183,"Lapa:culture, work and fun in Rio",Santa Teresa,151.0
676781,A sculptor's house,Rocinha,1143.0
416290,"Great single room in Botafogo, RJ",Botafogo,300.0
676983,Penthouse ipanema,Ipanema,387.0
421001,Confortable charming 3 bedroom,Humaitá,450.0
680320,2qtos - quadra da praia Copacabana,Copacabana,300.0
428798,Aptº em Ipanema - Posto 9 - Rio,Ipanema,850.0
689997,Rio Gávea near Leblon / Ipanema 1,Gávea,444.0
693897,Beatifull studio in the Heart of IPANEMA (stairs),Ipanema,187.0
436868,COPACABANA/LAPA 10minutes excelent,Flamengo,800.0
438767,The best 3 bedroons in Leblon/Rio,Leblon,500.0
713631,Quarto claro e amplo em Botafogo,Botafogo,196.0
439907,Peace and nature  in S. Conrado / RIO,São Conrado,186.0
440183,"Wonderfull Rio, on the hills!",Laranjeiras,157.0
716516,FANTASTIC ARTISTIC 3 BDR GÁVEA best,Gávea,687.0
441118,"IPANEMA, NICE STUDIOS, tv cabo",Ipanema,663.0
441119,Ipanema 205  beach block internet,Ipanema,387.0
720736,3 Bedrooms in the best point of Copacabana,Copacabana,1404.0
724673,3 bds in the best area of Ipanema !,Ipanema,436.0
442509,Price per person Sugar Loaf Flamengo Beach,Glória,116.0
724742,3 bedrooms close to the beach !,Ipanema,426.0
444250,LOVELY APARTMENT IN COPACABANA BEACH (2 Block),Copacabana,341.0
726410,Excellent Flat - heart of Rio,Botafogo,200.0
447602,Copacabana near subway and beach ★★★★★ - 3,Copacabana,400.0
727379,Apart in the heart of Copacabana,Copacabana,176.0
449040,SUITE / GARAGE - VIP AREA IN RIO,Jardim Botânico,206.0
449177,Suíte in Vargem Pequena!,Vargem Pequena,442.0
730658,Beautiful house in Santa Teresa Rio,Santa Teresa,160.0
449391,Penthouse #3! Best Internet! Veranda! Expat US-DE,Copacabana,160.0
730997,Large Penthouse Copacabana Beach Side Sea View,Copacabana,1084.0
454714,Charming  Studio Flat in Copacabana,Copacabana,257.0
743447,"5 min a pé - Praia de Copacabana, Metrô, WiFi IV",Copacabana,205.0
746187,Homy Cozy Place,Copacabana,225.0
461479,Wonderful localization at the beach,Copacabana,280.0
749237,few steps from Ipanema beach,Ipanema,971.0
465251,Copacabana Beach 3 Rooms APT Posto 5 Best of RJ,Copacabana,1188.0
752685,Apart in Copacabana Rio de Janeiro,Leme,300.0
469673,Enjoy Rio's tropical forest at hand,Alto da Boa Vista,990.0
753354,100% Best View In Copa Twin/Double Room,Leme,158.0
473180,"Modern, bright, quiet Copacabana Loft Apartment",Copacabana,1105.0
758578,PILAR DIAGONAL COPACABANA,Copacabana,225.0
479414,Ipanema e Copacabana. Localização Top! Garagem 24h,Ipanema,390.0
480220,Cozy Studio in Ipanema,Ipanema,250.0
758632,Rio Gavea near Copacabana & Ipanema 2,Gávea,600.0
484267,Confortável Cobertura entre Copacabana e Ipanema,Copacabana,699.0
